"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2003","99.0200","98.9900","99.0200","98.9800","33.75K","0.02%"
"11/01/2003","99.0000","98.9900","99.0000","98.9800","28.16K","0.02%"
"10/01/2003","98.9800","99.0000","99.0000","98.9800","18.36K","-0.01%"
"09/01/2003","98.9900","98.9800","99.0000","98.9800","41.74K","0.02%"
"08/01/2003","98.9700","98.9900","99.0000","98.9700","125.60K","-0.02%"
"07/01/2003","98.9900","99.0000","99.0100","98.9800","87.81K","0.21%"
"06/01/2003","98.7800","98.7800","98.8300","98.7700","192.26K","0.03%"
"05/01/2003","98.7500","98.8000","98.8300","98.7400","228.39K","0.00%"
"04/01/2003","98.7500","98.8100","98.8100","98.7400","106.99K","0.00%"
"03/01/2003","98.7500","98.7700","98.8100","98.7500","137.60K","0.01%"
"02/01/2003","98.7400","98.7700","98.7700","98.7300","29.68K","-0.03%"
"01/01/2003","98.7700","98.7700","98.7700","98.7500","28.53K","0.01%"
